interest_area,coding_interest_level,preferred_domain,current_degree,field_of_study,current_status,known_languages,frameworks_known,job_type_preference,job_experience,recommended_job_role,
Creativity,Advanced,Data Science,Masters,CS,Working Professional,"JavaScript, R",PyTorch,Onsite,3+,ml engineer,
Creativity,None,Data Science,Masters,Non-CS,Trainee,"C, C++","Flask, Node, PyTorch",Freelance,None,ml engineer,
Creativity,Beginner,Cybersecurity,Diploma,CS,Trainee,"None, R, SQL","Scikit-learn, TensorFlow",Remote,3+,ml engineer,
Both,Beginner,AI/ML,Masters,CS,Trainee,Java,"Node, None, TensorFlow",Remote,3+,ml engineer,
Creativity,Advanced,Cybersecurity,Bachelors,Non-CS,Intern,SQL,"Django, Node, None",Freelance,3+,backend developer,
Creativity,Intermediate,Cybersecurity,Diploma,CS,Working Professional,"Python, R","Django, Node, Scikit-learn",Remote,3+,ml engineer,
Both,Beginner,AI/ML,Diploma,CS,Working Professional,"None, Python, R","Flask, Node",Full-time Job,None,data analyst,
Creativity,Beginner,DevOps,Masters,Non-CS,Pursuing Degree,"C, C++, Python, R","Node, PyTorch, TensorFlow",Internship,1+,ml engineer,
Both,None,Backend,Masters,Non-CS,Pursuing Degree,None,Flask,Remote,3+,backend developer,
Logic,None,Full Stack,Diploma,Non-CS,Pursuing Degree,"Java, None, Python, R",Scikit-learn,Onsite,None,ml engineer,
Creativity,Beginner,Data Science,Bachelors,CS,Trainee,"C++, None, SQL","Node, Scikit-learn",Remote,3+,ml engineer,
Both,Advanced,Cybersecurity,Bachelors,CS,Working Professional,None,Flask,Full-time Job,3+,backend developer,
Creativity,Intermediate,Backend,Masters,CS,Trainee,"Java, None, Python, R","Django, Flask",Freelance,None,data analyst,
Both,Advanced,AI/ML,Masters,CS,Job Seeker,R,"Node, None, TensorFlow",Onsite,1+,ml engineer,
Both,Intermediate,Backend,Diploma,Non-CS,Intern,"C++, Java, R","Flask, PyTorch, Scikit-learn",Freelance,None,ml engineer,
Logic,Intermediate,Backend,Masters,Non-CS,Job Seeker,Python,"Node, Scikit-learn",Onsite,1+,ml engineer,
Both,None,Cybersecurity,Masters,Non-CS,Intern,"C, JavaScript",Scikit-learn,Remote,None,ml engineer,
Logic,Advanced,Full Stack,Bachelors,CS,Trainee,"None, R, SQL","Node, React, Scikit-learn",Onsite,None,ml engineer,
Creativity,Advanced,Full Stack,Masters,CS,Working Professional,"Python, R",Node,Remote,1+,data analyst,
Logic,Intermediate,Backend,Bachelors,Non-CS,Working Professional,"C, R, SQL",React,Onsite,1+,frontend developer,
Both,None,AI/ML,Bachelors,CS,Job Seeker,"None, SQL","PyTorch, TensorFlow",Freelance,None,ml engineer,
Logic,Beginner,Cybersecurity,Diploma,CS,Trainee,"None, Python, R, SQL","None, React",Remote,3+,data analyst,
Both,None,Backend,Bachelors,CS,Pursuing Degree,"Java, None, Python, SQL",React,Internship,None,data analyst,
Logic,Beginner,DevOps,Masters,CS,Working Professional,"JavaScript, R","Flask, Node, PyTorch",Internship,1+,ml engineer,
Both,None,Backend,Diploma,CS,Job Seeker,"JavaScript, None, R","Django, Flask, PyTorch",Internship,3+,ml engineer,
Logic,Advanced,Full Stack,Masters,CS,Working Professional,JavaScript,"PyTorch, React",Remote,None,ml engineer,
Logic,Intermediate,Data Science,Bachelors,Non-CS,Intern,R,None,Internship,None,intern,
Creativity,Intermediate,AI/ML,Bachelors,Non-CS,Pursuing Degree,C++,TensorFlow,Internship,3+,ml engineer,
Creativity,Beginner,Backend,Bachelors,Non-CS,Working Professional,SQL,"None, Scikit-learn",Onsite,None,ml engineer,
Logic,Beginner,Data Science,Masters,CS,Working Professional,"Java, SQL","None, TensorFlow",Onsite,1+,ml engineer,
Logic,Beginner,Full Stack,Bachelors,CS,Trainee,SQL,"Node, React, TensorFlow",Full-time Job,None,ml engineer,
Both,Beginner,Cybersecurity,Bachelors,Non-CS,Intern,"Java, Python, SQL","Node, None, Scikit-learn",Full-time Job,1+,ml engineer,
Both,None,AI/ML,Masters,CS,Working Professional,Java,"Node, PyTorch, React",Remote,3+,ml engineer,
Creativity,Intermediate,AI/ML,Bachelors,CS,Trainee,"Python, R, SQL","Flask, None, React",Remote,None,data analyst,
Creativity,Beginner,DevOps,Bachelors,Non-CS,Trainee,"None, R",Flask,Onsite,None,backend developer,
Both,Intermediate,Cybersecurity,Bachelors,Non-CS,Trainee,"Python, R","Node, PyTorch, React",Remote,3+,ml engineer,
Logic,None,Cybersecurity,Diploma,CS,Job Seeker,"C, C++, None, R","Flask, Scikit-learn",Onsite,None,ml engineer,
Both,Intermediate,AI/ML,Masters,Non-CS,Job Seeker,C++,None,Onsite,3+,intern,
Creativity,Advanced,DevOps,Diploma,CS,Intern,"C++, JavaScript","Django, React, TensorFlow",Internship,1+,ml engineer,
Creativity,Advanced,DevOps,Diploma,CS,Job Seeker,"JavaScript, Python, R, SQL",React,Full-time Job,1+,data analyst,
Logic,Beginner,Cybersecurity,Diploma,Non-CS,Job Seeker,"C, Java, None","Flask, React",Onsite,3+,frontend developer,
Creativity,Beginner,Cybersecurity,Masters,Non-CS,Job Seeker,"C, Java, None, Python",Django,Remote,None,backend developer,
Creativity,Beginner,Backend,Diploma,CS,Working Professional,"C++, JavaScript",TensorFlow,Remote,3+,ml engineer,
Both,Advanced,Cybersecurity,Diploma,Non-CS,Intern,"JavaScript, None, SQL","Django, None",Full-time Job,1+,frontend developer,
Both,None,DevOps,Diploma,CS,Pursuing Degree,"C, JavaScript","Django, Flask, None",Full-time Job,None,frontend developer,
Logic,None,DevOps,Masters,Non-CS,Pursuing Degree,"C, C++, None","Django, None",Internship,None,backend developer,
Creativity,Advanced,Backend,Masters,Non-CS,Job Seeker,"C++, Java, Python, SQL","Django, None, PyTorch",Freelance,1+,ml engineer,
Both,Advanced,AI/ML,Diploma,Non-CS,Working Professional,JavaScript,Node,Remote,1+,frontend developer,
Creativity,None,Backend,Bachelors,CS,Working Professional,"None, Python, R","Flask, PyTorch",Onsite,3+,ml engineer,
Logic,None,Frontend,Masters,CS,Job Seeker,"Java, None, R","Flask, None, TensorFlow",Freelance,1+,ml engineer,
Both,Intermediate,Full Stack,Bachelors,CS,Working Professional,"Java, JavaScript, Python, SQL","Flask, Scikit-learn",Internship,None,ml engineer,
Both,Beginner,Backend,Masters,Non-CS,Job Seeker,C++,"React, Scikit-learn",Internship,3+,ml engineer,
Both,Intermediate,Frontend,Diploma,CS,Trainee,R,None,Freelance,1+,intern,
Both,Advanced,Frontend,Diploma,CS,Intern,"JavaScript, None",Flask,Remote,None,frontend developer,
Creativity,None,Frontend,Diploma,CS,Job Seeker,"Java, R",Node,Onsite,3+,backend developer,
Creativity,Beginner,Backend,Masters,Non-CS,Pursuing Degree,R,React,Onsite,None,frontend developer,
Logic,Advanced,Data Science,Masters,Non-CS,Pursuing Degree,"JavaScript, R","Flask, PyTorch, TensorFlow",Internship,3+,ml engineer,
Logic,Advanced,AI/ML,Bachelors,CS,Job Seeker,C++,React,Internship,1+,frontend developer,
Logic,None,Cybersecurity,Bachelors,Non-CS,Job Seeker,None,"Django, TensorFlow",Freelance,1+,ml engineer,
Both,Beginner,Backend,Bachelors,Non-CS,Working Professional,"C++, Java, JavaScript, SQL","None, PyTorch, React",Full-time Job,3+,ml engineer,
Logic,Intermediate,AI/ML,Diploma,CS,Pursuing Degree,"C, JavaScript, Python","None, React",Internship,1+,data analyst,
Both,Intermediate,Frontend,Bachelors,CS,Working Professional,Java,"Node, React",Freelance,1+,frontend developer,
Creativity,Advanced,Frontend,Diploma,CS,Pursuing Degree,"Java, SQL",TensorFlow,Onsite,3+,ml engineer,
Both,None,Full Stack,Masters,CS,Job Seeker,"C++, JavaScript, None",Scikit-learn,Freelance,None,ml engineer,
Both,Advanced,Full Stack,Masters,Non-CS,Trainee,"Python, R","Django, Flask, React",Onsite,1+,data analyst,
Both,Beginner,Backend,Diploma,CS,Trainee,"C, Python, R","None, PyTorch, TensorFlow",Full-time Job,None,ml engineer,
Creativity,Intermediate,Data Science,Diploma,CS,Job Seeker,"None, R, SQL","None, PyTorch, TensorFlow",Internship,1+,ml engineer,
Both,Intermediate,Data Science,Diploma,CS,Job Seeker,SQL,"Flask, Node",Freelance,None,backend developer,
Logic,None,DevOps,Bachelors,Non-CS,Working Professional,"C, Java","Django, React",Remote,1+,frontend developer,
Creativity,None,DevOps,Masters,CS,Job Seeker,"C++, None, Python","Django, Scikit-learn, TensorFlow",Internship,None,ml engineer,
Creativity,Advanced,Full Stack,Masters,Non-CS,Trainee,"Java, R, SQL","Flask, None",Freelance,3+,backend developer,
Creativity,Advanced,Full Stack,Bachelors,CS,Pursuing Degree,"C, C++, None",Node,Onsite,None,backend developer,
Logic,Beginner,Data Science,Diploma,Non-CS,Working Professional,Java,"Flask, PyTorch, React",Internship,3+,ml engineer,
Both,Intermediate,DevOps,Masters,CS,Intern,"Java, JavaScript, None, R","Django, None, TensorFlow",Remote,None,ml engineer,
Logic,Intermediate,Data Science,Bachelors,CS,Job Seeker,"C++, None, R",PyTorch,Internship,3+,ml engineer,
Creativity,None,Data Science,Diploma,CS,Pursuing Degree,R,TensorFlow,Onsite,3+,ml engineer,
Creativity,Intermediate,Cybersecurity,Diploma,CS,Job Seeker,"C, SQL",TensorFlow,Full-time Job,3+,ml engineer,
Creativity,None,DevOps,Diploma,Non-CS,Job Seeker,"C, C++, JavaScript, Python","React, Scikit-learn",Freelance,3+,ml engineer,
Creativity,Advanced,DevOps,Masters,Non-CS,Pursuing Degree,"C++, R, SQL",Node,Internship,1+,backend developer,
Both,Intermediate,Full Stack,Masters,Non-CS,Working Professional,"C, C++, Python, R","Flask, Node",Full-time Job,None,data analyst,
Logic,Beginner,Backend,Bachelors,CS,Intern,"C, C++, R","Flask, Node, None",Remote,1+,backend developer,
Both,None,Cybersecurity,Bachelors,CS,Trainee,JavaScript,Flask,Onsite,None,frontend developer,
Creativity,Beginner,Full Stack,Masters,CS,Trainee,R,"Django, TensorFlow",Onsite,1+,ml engineer,
Both,Intermediate,Frontend,Diploma,Non-CS,Intern,C++,None,Internship,3+,intern,
Both,None,DevOps,Diploma,Non-CS,Pursuing Degree,"C, Java, SQL",PyTorch,Freelance,3+,ml engineer,
Creativity,Intermediate,Backend,Masters,Non-CS,Trainee,"C, C++, None, Python","Node, PyTorch, Scikit-learn",Onsite,None,ml engineer,
Both,Advanced,Full Stack,Masters,CS,Trainee,C++,"Node, None",Internship,3+,backend developer,
Logic,Beginner,Data Science,Bachelors,Non-CS,Working Professional,"C++, SQL","None, TensorFlow",Internship,1+,ml engineer,
Logic,None,Full Stack,Diploma,Non-CS,Job Seeker,"C, Java, JavaScript, R","None, PyTorch, Scikit-learn",Freelance,None,ml engineer,
Logic,Beginner,Full Stack,Diploma,Non-CS,Job Seeker,"C++, Java, Python","Django, None, Scikit-learn",Onsite,3+,ml engineer,
Both,Beginner,Full Stack,Diploma,CS,Pursuing Degree,"C, SQL",None,Freelance,3+,intern,
Logic,Advanced,Data Science,Masters,Non-CS,Working Professional,"C, C++, JavaScript, Python",Scikit-learn,Internship,1+,ml engineer,
Creativity,Intermediate,Frontend,Masters,Non-CS,Intern,"Java, JavaScript, None, R","Django, Flask",Full-time Job,None,frontend developer,
Creativity,None,Backend,Diploma,Non-CS,Working Professional,"None, R",React,Onsite,None,frontend developer,
Creativity,None,Frontend,Masters,Non-CS,Intern,None,"Flask, Node, React",Full-time Job,1+,frontend developer,
Both,Advanced,AI/ML,Diploma,CS,Trainee,"C++, Java, None, Python",Django,Remote,1+,backend developer,
Creativity,Advanced,Full Stack,Diploma,CS,Job Seeker,"C, JavaScript, None, R","PyTorch, React",Remote,1+,ml engineer,
Logic,Advanced,Backend,Bachelors,CS,Pursuing Degree,SQL,"Node, PyTorch",Full-time Job,1+,ml engineer,
Creativity,Advanced,DevOps,Diploma,CS,Working Professional,"JavaScript, R, SQL","React, Scikit-learn",Onsite,None,ml engineer,
Creativity,Intermediate,DevOps,Masters,Non-CS,Pursuing Degree,"C, None, R","Django, Node, PyTorch",Internship,3+,ml engineer,
Creativity,None,Data Science,Diploma,Non-CS,Job Seeker,"Java, R","Node, React, Scikit-learn",Onsite,3+,ml engineer,
Creativity,Beginner,Full Stack,Diploma,CS,Job Seeker,"C++, SQL","Django, Node, Scikit-learn",Freelance,None,ml engineer,
Both,Intermediate,Full Stack,Masters,CS,Pursuing Degree,"C, Python",None,Freelance,1+,intern,
Logic,Intermediate,DevOps,Masters,CS,Working Professional,Java,"React, TensorFlow",Remote,3+,ml engineer,
Creativity,Intermediate,Frontend,Diploma,Non-CS,Job Seeker,"JavaScript, None, R, SQL","Flask, None, React",Remote,1+,frontend developer,
Both,Advanced,Frontend,Diploma,Non-CS,Pursuing Degree,"None, Python, R","Flask, Scikit-learn, TensorFlow",Freelance,None,ml engineer,
Logic,None,DevOps,Masters,Non-CS,Trainee,"C++, SQL",None,Full-time Job,1+,intern,
Both,Beginner,DevOps,Bachelors,CS,Intern,"JavaScript, None, R, SQL",None,Freelance,None,frontend developer,
Both,None,Cybersecurity,Masters,Non-CS,Working Professional,"C, C++, Python","None, React, Scikit-learn",Onsite,1+,ml engineer,
Creativity,Intermediate,Backend,Bachelors,CS,Pursuing Degree,"JavaScript, R","Django, React",Full-time Job,None,frontend developer,
Logic,None,Full Stack,Bachelors,CS,Intern,C++,Node,Remote,1+,backend developer,
Both,Advanced,AI/ML,Masters,Non-CS,Working Professional,"C, R, SQL","None, PyTorch, TensorFlow",Full-time Job,None,ml engineer,
Both,Beginner,Cybersecurity,Diploma,CS,Job Seeker,None,"Django, React",Internship,1+,frontend developer,
Logic,Beginner,DevOps,Diploma,Non-CS,Job Seeker,R,"React, Scikit-learn",Full-time Job,None,ml engineer,
Logic,Advanced,DevOps,Diploma,Non-CS,Pursuing Degree,"C++, Java, R",Node,Remote,1+,backend developer,
Both,Beginner,AI/ML,Bachelors,Non-CS,Job Seeker,"None, Python, SQL",PyTorch,Internship,1+,ml engineer,
Logic,Intermediate,Frontend,Masters,Non-CS,Working Professional,None,"Django, None, PyTorch",Full-time Job,3+,ml engineer,
Creativity,Advanced,AI/ML,Bachelors,CS,Trainee,"C++, Python",Flask,Onsite,1+,backend developer,
Creativity,Advanced,DevOps,Masters,Non-CS,Trainee,"C++, Python","Flask, PyTorch, React",Onsite,None,ml engineer,
Logic,Beginner,AI/ML,Diploma,Non-CS,Pursuing Degree,"C++, Java, None, R",None,Remote,None,backend developer,
Logic,Beginner,DevOps,Diploma,CS,Pursuing Degree,"C++, SQL","Node, React",Internship,1+,frontend developer,
Creativity,Beginner,Data Science,Bachelors,Non-CS,Intern,"Java, Python, R, SQL",TensorFlow,Remote,None,ml engineer,
Both,Beginner,DevOps,Diploma,Non-CS,Working Professional,"Java, None, Python, R","Flask, Node, TensorFlow",Full-time Job,3+,ml engineer,
Both,Intermediate,DevOps,Diploma,Non-CS,Working Professional,"C++, JavaScript","None, Scikit-learn, TensorFlow",Onsite,1+,ml engineer,
Logic,Advanced,Data Science,Bachelors,CS,Pursuing Degree,"C, Python, R, SQL",React,Full-time Job,1+,data analyst,
Logic,Intermediate,Data Science,Diploma,Non-CS,Intern,"Python, SQL",Node,Freelance,1+,data analyst,
Logic,Advanced,Data Science,Bachelors,Non-CS,Pursuing Degree,"C++, JavaScript, Python","Node, PyTorch, React",Remote,1+,ml engineer,
Creativity,Intermediate,Backend,Bachelors,CS,Intern,JavaScript,"Node, PyTorch, TensorFlow",Onsite,1+,ml engineer,
Both,Beginner,Frontend,Diploma,CS,Job Seeker,"C, Java","None, PyTorch, TensorFlow",Onsite,3+,ml engineer,
Logic,None,Data Science,Bachelors,CS,Job Seeker,"C++, Java, Python",Scikit-learn,Full-time Job,3+,ml engineer,
Both,Intermediate,Frontend,Bachelors,Non-CS,Job Seeker,"C, None, R","Flask, PyTorch, TensorFlow",Onsite,3+,ml engineer,
Logic,Beginner,AI/ML,Bachelors,Non-CS,Intern,"C, SQL",Scikit-learn,Freelance,3+,ml engineer,
Both,None,AI/ML,Diploma,Non-CS,Pursuing Degree,"C, C++, None, R",React,Onsite,3+,frontend developer,
Both,None,Backend,Masters,Non-CS,Trainee,"None, R, SQL","Node, TensorFlow",Full-time Job,1+,ml engineer,
Logic,Advanced,Frontend,Bachelors,CS,Pursuing Degree,"C, R",TensorFlow,Full-time Job,None,ml engineer,
Both,Intermediate,DevOps,Masters,CS,Trainee,"C, SQL","Node, PyTorch, Scikit-learn",Internship,3+,ml engineer,
Both,Intermediate,Backend,Diploma,CS,Job Seeker,"C, JavaScript, None, R",React,Freelance,1+,frontend developer,
Logic,Advanced,Cybersecurity,Bachelors,Non-CS,Pursuing Degree,"JavaScript, Python",Flask,Remote,3+,data analyst,
Both,Intermediate,Full Stack,Bachelors,Non-CS,Trainee,None,Flask,Freelance,3+,backend developer,
Creativity,Advanced,Backend,Bachelors,CS,Pursuing Degree,"Python, R","PyTorch, Scikit-learn",Internship,1+,ml engineer,
Logic,Beginner,Cybersecurity,Diploma,CS,Job Seeker,"C, C++, Java, Python","None, Scikit-learn",Freelance,1+,ml engineer,
Both,Intermediate,Data Science,Masters,Non-CS,Working Professional,"Java, JavaScript, None","Django, Flask, PyTorch",Freelance,3+,ml engineer,
Logic,Advanced,Cybersecurity,Masters,CS,Pursuing Degree,SQL,PyTorch,Remote,3+,ml engineer,
Both,None,Frontend,Diploma,CS,Pursuing Degree,C++,React,Freelance,3+,frontend developer,
Creativity,Intermediate,Backend,Bachelors,CS,Intern,"JavaScript, None, Python, R","Scikit-learn, TensorFlow",Onsite,1+,ml engineer,
Logic,None,Frontend,Bachelors,Non-CS,Trainee,"JavaScript, R, SQL","Django, None, PyTorch",Onsite,3+,ml engineer,
Logic,None,Full Stack,Masters,Non-CS,Trainee,C,"Flask, Node, Scikit-learn",Onsite,1+,ml engineer,
Logic,Beginner,AI/ML,Bachelors,CS,Job Seeker,C++,"None, React",Onsite,None,frontend developer,
Both,Advanced,Data Science,Diploma,Non-CS,Working Professional,Java,React,Full-time Job,1+,frontend developer,
Logic,None,Data Science,Diploma,Non-CS,Pursuing Degree,R,TensorFlow,Remote,None,ml engineer,
Creativity,Advanced,Cybersecurity,Masters,Non-CS,Intern,"C, Python",Scikit-learn,Freelance,None,ml engineer,
Creativity,None,AI/ML,Bachelors,Non-CS,Working Professional,"C, Python",Django,Internship,3+,backend developer,
Both,Beginner,DevOps,Masters,Non-CS,Job Seeker,"None, Python, SQL","Scikit-learn, TensorFlow",Full-time Job,3+,ml engineer,
Logic,Beginner,Data Science,Diploma,CS,Job Seeker,"C, None, Python, R",Django,Freelance,3+,data analyst,
Creativity,Intermediate,Frontend,Masters,Non-CS,Working Professional,"C++, None, R",Scikit-learn,Internship,3+,ml engineer,
Logic,None,Cybersecurity,Masters,CS,Working Professional,"JavaScript, None","Django, Scikit-learn",Remote,1+,ml engineer,
Both,Intermediate,AI/ML,Masters,Non-CS,Trainee,"C, None, R","Django, Node, PyTorch",Remote,1+,ml engineer,
Creativity,None,Cybersecurity,Bachelors,Non-CS,Job Seeker,"C++, R","None, TensorFlow",Full-time Job,None,ml engineer,
Logic,Advanced,DevOps,Diploma,CS,Working Professional,"C, Java, JavaScript, R","Flask, PyTorch",Internship,None,ml engineer,
Logic,None,Frontend,Masters,Non-CS,Working Professional,"C++, Java, None","Flask, React, TensorFlow",Onsite,None,ml engineer,
Creativity,Intermediate,DevOps,Bachelors,Non-CS,Intern,"Java, JavaScript, R","Flask, Node, TensorFlow",Internship,1+,ml engineer,
Both,Advanced,Cybersecurity,Masters,CS,Job Seeker,"C++, None","React, Scikit-learn",Onsite,1+,ml engineer,
Both,Advanced,Data Science,Diploma,CS,Pursuing Degree,JavaScript,"PyTorch, React, Scikit-learn",Freelance,1+,ml engineer,
Both,Beginner,Frontend,Diploma,Non-CS,Trainee,Python,None,Onsite,1+,intern,
Creativity,Beginner,DevOps,Bachelors,Non-CS,Intern,"C, None, SQL","Django, Node",Full-time Job,None,backend developer,
Both,Intermediate,Full Stack,Diploma,Non-CS,Intern,"C++, JavaScript, R, SQL","None, PyTorch, TensorFlow",Freelance,1+,ml engineer,
Both,Beginner,Cybersecurity,Bachelors,Non-CS,Pursuing Degree,"C, C++, JavaScript, SQL",Django,Remote,None,frontend developer,
Creativity,None,Data Science,Masters,Non-CS,Working Professional,"JavaScript, None, Python",Django,Internship,1+,data analyst,
Logic,Advanced,Frontend,Masters,CS,Trainee,C++,Scikit-learn,Remote,1+,ml engineer,
Logic,Advanced,Cybersecurity,Diploma,Non-CS,Pursuing Degree,"C++, Python","Django, None, React",Remote,None,data analyst,
Creativity,Advanced,Data Science,Bachelors,CS,Working Professional,"C, C++, JavaScript, R","Flask, React",Internship,3+,frontend developer,
Logic,None,Frontend,Masters,Non-CS,Pursuing Degree,"Java, Python, SQL","PyTorch, React, Scikit-learn",Full-time Job,None,ml engineer,
Creativity,Advanced,Frontend,Masters,Non-CS,Pursuing Degree,C,PyTorch,Onsite,3+,ml engineer,
Creativity,None,AI/ML,Diploma,CS,Intern,Java,None,Internship,3+,backend developer,
Both,Advanced,Full Stack,Masters,CS,Job Seeker,"C, C++, Java, Python",PyTorch,Remote,None,ml engineer,
Creativity,Advanced,Frontend,Bachelors,Non-CS,Job Seeker,"C++, Python","Node, None, React",Full-time Job,1+,data analyst,
Logic,Beginner,DevOps,Masters,CS,Trainee,"C++, JavaScript, Python","Scikit-learn, TensorFlow",Full-time Job,3+,ml engineer,
Both,Beginner,Frontend,Masters,Non-CS,Intern,"C, C++, R, SQL",Scikit-learn,Onsite,None,ml engineer,
Both,None,AI/ML,Diploma,CS,Trainee,"Java, Python",Scikit-learn,Onsite,3+,ml engineer,
Logic,Beginner,AI/ML,Masters,Non-CS,Intern,"C++, None, Python, R","Scikit-learn, TensorFlow",Full-time Job,1+,ml engineer,
Creativity,Advanced,Backend,Diploma,CS,Job Seeker,"Java, None, Python, R","None, PyTorch",Remote,1+,ml engineer,
Creativity,Intermediate,DevOps,Masters,Non-CS,Job Seeker,None,"None, PyTorch",Freelance,None,ml engineer,
Both,Intermediate,Full Stack,Bachelors,Non-CS,Job Seeker,"C, Java, SQL",React,Full-time Job,3+,frontend developer,
Logic,Intermediate,Full Stack,Bachelors,Non-CS,Pursuing Degree,"C, Java, None","Django, Flask, PyTorch",Remote,None,ml engineer,
Creativity,Intermediate,Backend,Diploma,Non-CS,Trainee,R,"Flask, PyTorch, TensorFlow",Freelance,None,ml engineer,
Both,Advanced,Backend,Bachelors,Non-CS,Intern,"Java, R","Node, None",Freelance,3+,backend developer,
Both,None,DevOps,Bachelors,CS,Intern,"C, Python, SQL","None, Scikit-learn",Freelance,None,ml engineer,
Creativity,Intermediate,AI/ML,Diploma,Non-CS,Intern,"C, R","None, Scikit-learn, TensorFlow",Remote,3+,ml engineer,
Logic,Intermediate,DevOps,Masters,Non-CS,Trainee,JavaScript,"None, Scikit-learn",Freelance,None,ml engineer,
Logic,Beginner,AI/ML,Bachelors,Non-CS,Trainee,"C++, Java, R, SQL","PyTorch, Scikit-learn",Full-time Job,None,ml engineer,
Both,Advanced,Cybersecurity,Diploma,Non-CS,Intern,C,"None, PyTorch",Internship,3+,ml engineer,
Creativity,Advanced,AI/ML,Bachelors,CS,Trainee,"JavaScript, None, Python","None, Scikit-learn",Remote,None,ml engineer,
Logic,Intermediate,Cybersecurity,Bachelors,CS,Intern,"JavaScript, Python","Scikit-learn, TensorFlow",Remote,None,ml engineer,
Logic,Advanced,AI/ML,Bachelors,Non-CS,Intern,"C++, JavaScript, Python, R","Flask, React",Internship,1+,data analyst,
Logic,Intermediate,Full Stack,Bachelors,Non-CS,Working Professional,"Python, R, SQL","Flask, PyTorch",Freelance,3+,ml engineer,
Creativity,Advanced,Frontend,Diploma,CS,Trainee,Java,"Django, Flask, PyTorch",Freelance,1+,ml engineer,
Both,None,Cybersecurity,Bachelors,Non-CS,Job Seeker,"C, C++, Python","Node, Scikit-learn, TensorFlow",Internship,None,ml engineer,
Logic,None,Cybersecurity,Bachelors,Non-CS,Job Seeker,"JavaScript, SQL","React, TensorFlow",Internship,1+,ml engineer,
Both,None,Backend,Masters,Non-CS,Working Professional,"None, R","Node, None",Onsite,3+,backend developer,
Both,Beginner,AI/ML,Masters,Non-CS,Trainee,"Java, Python","PyTorch, Scikit-learn",Full-time Job,1+,ml engineer,
Both,Beginner,DevOps,Masters,CS,Working Professional,"None, R, SQL",React,Internship,3+,frontend developer,
Logic,None,Cybersecurity,Bachelors,CS,Job Seeker,"Java, None, Python, SQL",PyTorch,Internship,None,ml engineer,
Creativity,Advanced,Backend,Bachelors,CS,Job Seeker,"C++, None, R, SQL","PyTorch, TensorFlow",Remote,3+,ml engineer,
Both,Beginner,DevOps,Bachelors,Non-CS,Intern,"C++, R, SQL",Scikit-learn,Freelance,None,ml engineer,
Logic,Beginner,Data Science,Diploma,Non-CS,Intern,"None, Python, SQL","Flask, None",Remote,None,data analyst,
Both,Intermediate,Frontend,Masters,CS,Trainee,"JavaScript, R","None, React",Full-time Job,1+,frontend developer,
Logic,None,Backend,Masters,Non-CS,Working Professional,"C, None, Python, SQL","Django, PyTorch, Scikit-learn",Remote,None,ml engineer,
Both,Advanced,Cybersecurity,Masters,Non-CS,Intern,"C, JavaScript, None, R","Flask, TensorFlow",Internship,3+,ml engineer,
Creativity,Beginner,Full Stack,Diploma,CS,Working Professional,"C, C++, JavaScript",Django,Freelance,None,frontend developer,
Creativity,Beginner,Full Stack,Bachelors,CS,Pursuing Degree,"C, Python, R","Django, Flask, None",Freelance,None,data analyst,
Creativity,None,Backend,Bachelors,Non-CS,Job Seeker,"C++, Python",Django,Onsite,1+,backend developer,
Creativity,Intermediate,Backend,Bachelors,Non-CS,Working Professional,"C, Java","Django, Scikit-learn, TensorFlow",Onsite,1+,ml engineer,
Creativity,Intermediate,Backend,Bachelors,CS,Pursuing Degree,C++,React,Onsite,1+,frontend developer,
Both,None,AI/ML,Masters,Non-CS,Trainee,"C++, None, R",Node,Remote,1+,backend developer,
Both,None,Frontend,Masters,Non-CS,Job Seeker,"Java, None, R",TensorFlow,Internship,3+,ml engineer,
Logic,Beginner,DevOps,Bachelors,Non-CS,Trainee,"C, Java, None, SQL",Flask,Full-time Job,1+,backend developer,
Logic,Advanced,AI/ML,Bachelors,CS,Pursuing Degree,"C++, Java, None, SQL",Scikit-learn,Onsite,None,ml engineer,
Creativity,None,Frontend,Bachelors,Non-CS,Job Seeker,"Java, JavaScript, R, SQL","Flask, PyTorch, Scikit-learn",Internship,None,ml engineer,
Creativity,None,Full Stack,Bachelors,CS,Job Seeker,"C++, Java, JavaScript","Flask, Scikit-learn",Internship,1+,ml engineer,
Logic,None,Data Science,Diploma,CS,Job Seeker,JavaScript,None,Freelance,1+,frontend developer,
Creativity,None,Frontend,Diploma,Non-CS,Working Professional,R,"Flask, Node, None",Onsite,None,backend developer,
Creativity,Beginner,AI/ML,Bachelors,Non-CS,Trainee,"Java, R, SQL",TensorFlow,Remote,1+,ml engineer,
Logic,Advanced,Data Science,Diploma,CS,Pursuing Degree,"C, Java, JavaScript, None",Django,Internship,None,frontend developer,
Creativity,Advanced,Cybersecurity,Masters,CS,Working Professional,"JavaScript, None, SQL","Node, None",Freelance,1+,frontend developer,
Creativity,None,Frontend,Diploma,Non-CS,Pursuing Degree,"JavaScript, R, SQL","Flask, PyTorch",Full-time Job,3+,ml engineer,
Creativity,Advanced,AI/ML,Bachelors,Non-CS,Pursuing Degree,"JavaScript, R","PyTorch, TensorFlow",Full-time Job,1+,ml engineer,
Both,Beginner,Full Stack,Bachelors,CS,Pursuing Degree,"C, C++, JavaScript, R","Django, Node, TensorFlow",Freelance,None,ml engineer,
